Taxon	Reference	AverageCoverage	Coverge_StandardDeviation	percCoveredHigher1	percCoveredHigher2	percCoveredHigher3	percCoveredHigher4	percCoveredHigher5
Variola_major_virus	NA	0	0	0	0	0	0	0
Variola_minor_virus	NA	0	0	0	0	0	0	0
Veillonella_parvula	Veillonella_parvula	0.017	0.037	0.015	0.002	0	0	0
Veillonella_parvula_HSIVP1	Veillonella_parvula_HSIVP1	0.006	0.013	0.005	0	0	0	0
Vibrio_cholerae	NA	0	0	0	0	0	0	0
Vibrio_parahaemolyticus	NA	0	0	0	0	0	0	0
Vibrio_vulnificus	NA	0	0	0	0	0	0	0
Yersinia_enterocolitica	NA	0	0	0	0	0	0	0
Yersinia_pestis	NA	0	0	0	0	0	0	0
Yersinia_pseudotuberculosis	NA	0	0	0	0	0	0	0
Yersinia_pseudotuberculosis_complex	Yersinia_pestis_D182038	0	0	0	0	0	0	0
